block;trial_num;relation_1;relation_2;q1_stim_1_id;q1_stim_2_id;q1_rel;q1_stim_3_id;q1_stim_4_id;q2_stim_1_id;q2_stim_2_id;q2_rel;q2_stim_3_id;q2_stim_4_id;q3_stim_1_id;q3_stim_2_id;q3_rel;q3_stim_3_id;q3_stim_4_id;q4_stim_1_id;q4_stim_2_id;q4_rel;q4_stim_3_id;q4_stim_4_id;correct_response;stim_1_id;relation_1_verb;relation_1_place;relation_1_time;stim_2_id;relation_2_verb;relation_2_place;relation_2_time;switch_1;switch_2_stim_1_id;switch_2_verb;switch_2_stim_2_id;switch_2_and;switch_2_if;q1_rel_place;q1_rel_time;q2_rel_place;q2_rel_time;q3_rel_place;q3_rel_time;q4_rel_place;q4_rel_time;meta_relation_1;meta_stim_1_id;meta_relation_2;meta_stim_2_id;stim_3_id;stim_4_id;stim_5_id;relation_3;stim_6_id;stim_7_id;relation_4;stim_8_id;q_word
4;56;is before;is after;1;3;is before;;;1;4;is after;;;2;4;is after;;;3;2;is before;;;q1;;;;;;;;;;;;;;;;;;;;;;;;;;;3;2;3;is before;4;;;;Is
4;57;is after;is after;4;1;is before;;;3;1;is after;;;4;2;is after;;;3;4;is before;;;q1;;;;;;;;;;;;;;;;;;;;;;;;;;;2;3;4;is before;3;;;;Is
4;58;is after;is after;1;4;is after;;;1;3;is before;;;2;4;is before;;;4;3;is after;;;q1;;;;;;;;;;;;;;;;;;;;;;;;;;;2;3;4;is before;3;;;;Is
4;59;is after;is before;3;1;is before;;;4;1;is after;;;4;2;is after;;;1;2;is before;;;q1;;;;;;;;;;;;;;;;;;;;;;;;;;;3;2;3;is after;4;;;;Is
4;60;is after;is before;2;4;is after;;;1;4;is before;;;1;3;is before;;;3;2;is after;;;q1;;;;;;;;;;;;;;;;;;;;;;;;;;;3;2;3;is after;4;;;;Is
4;61;is after;is before;5;1;is before;;;4;1;is after;;;5;2;is after;;;2;4;is before;;;q1;;;;;;;;;;;;;;;;;;;;;;;;;;;3;2;3;is after;4;5;is before;4;Is
4;62;is after;is before;1;5;is after;;;1;4;is before;;;2;5;is before;;;4;2;is after;;;q1;;;;;;;;;;;;;;;;;;;;;;;;;;;3;2;3;is after;4;5;is before;4;Is
4;63;is before;is after;4;1;is after;;;5;1;is before;;;5;2;is before;;;2;4;is after;;;q1;;;;;;;;;;;;;;;;;;;;;;;;;;;3;2;3;is before;4;5;is after;4;Is
4;64;is before;is after;2;5;is before;;;1;5;is after;;;1;4;is after;;;5;3;is before;;;q1;;;;;;;;;;;;;;;;;;;;;;;;;;;3;2;3;is before;4;5;is after;4;Is
5;65;contains;;2;1;is within;;;2;1;contains;;;1;2;is within;;;;;;;;q1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Does
5;66;is within;;2;1;contains;;;2;1;is within;;;1;2;contains;;;;;;;;q1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Does
5;67;contains;contains;3;1;is within;;;3;1;contains;;;2;1;contains;;;3;2;contains;;;q1;;;;;;;;;;;;;;;;;;;;;;;;;;;2;3;;;;;;;Is
5;68;contains;is within;2;1;is within;;;3;1;contains;;;1;3;is within;;;3;2;contains;;;q1;;;;;;;;;;;;;;;;;;;;;;;;;;;3;2;;;;;;;Does
5;69;contains;is within;1;3;contains;;;3;1;contains;;;1;2;is within;;;2;3;is within;;;q1;;;;;;;;;;;;;;;;;;;;;;;;;;;3;2;;;;;;;Is
5;70;is within;is within;3;1;contains;;;2;1;is within;;;3;2;is within;;;1;3;contains;;;q1;;;;;;;;;;;;;;;;;;;;;;;;;;;2;3;;;;;;;Does
5;71;contains;is within;1;4;contains;;;2;4;is within;;;1;3;is within;;;4;2;contains;;;q1;;;;;;;;;;;;;;;;;;;;;;;;;;;3;2;3;contains;4;;;;Does
5;72;contains;is within;4;1;is within;;;4;2;contains;;;3;1;contains;;;1;3;is within;;;q1;;;;;;;;;;;;;;;;;;;;;;;;;;;3;2;3;contains;4;;;;Is
5;73;is within;contains;4;2;contains;;;4;1;is within;;;3;1;is within;;;1;4;contains;;;q1;;;;;;;;;;;;;;;;;;;;;;;;;;;3;2;4;contains;3;;;;Does
5;74;is within;contains;1;3;is within;;;1;4;contains;;;2;4;contains;;;4;2;is within;;;q1;;;;;;;;;;;;;;;;;;;;;;;;;;;3;2;4;contains;3;;;;Is
5;75;is within;is within;1;4;is within;;;1;3;contains;;;2;4;contains;;;3;2;is within;;;q1;;;;;;;;;;;;;;;;;;;;;;;;;;;2;3;4;contains;3;;;;Does
5;76;is within;is within;4;1;contains;;;3;1;is within;;;4;2;is within;;;1;3;contains;;;q1;;;;;;;;;;;;;;;;;;;;;;;;;;;2;3;4;contains;3;;;;Is
5;77;contains;is within;1;5;contains;;;1;4;is within;;;3;5;is within;;;5;2;contains;;;q1;;;;;;;;;;;;;;;;;;;;;;;;;;;3;2;3;contains;4;5;is within;4;Does
5;78;contains;is within;5;2;is within;;;5;1;contains;;;4;1;contains;;;1;3;is within;;;q1;;;;;;;;;;;;;;;;;;;;;;;;;;;3;2;3;contains;4;4;contains;5;Does
5;79;is within;contains;4;1;contains;;;5;1;is within;;;5;2;is within;;;2;4;contains;;;q1;;;;;;;;;;;;;;;;;;;;;;;;;;;3;2;4;contains;3;5;contains;4;Is
5;80;is within;is within;1;5;is within;;;1;4;contains;;;2;5;contains;;;4;1;is within;;;q1;;;;;;;;;;;;;;;;;;;;;;;;;;;2;3;4;contains;3;5;contains;4;Is
6;81;is the same as;is the same as;1;2;is the same as;3;4;1;2;is opposite to;3;4;;;;;;;;;;;q1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Is
6;82;is the same as;is the same as;1;2;is the same as;4;3;1;2;is opposite to;4;3;;;;;;;;;;;q1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Is
6;83;is the same as;is the same as;2;1;is the same as;4;3;2;1;is opposite to;4;3;;;;;;;;;;;q1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Is
6;84;is the same as;is opposite to;1;2;is opposite to;4;3;1;2;is the same as;4;3;;;;;;;;;;;q1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Is
6;85;is the same as;is opposite to;2;1;is opposite to;3;4;2;1;is the same as;3;4;;;;;;;;;;;q1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Is
6;86;is opposite to;is opposite to;1;2;is the same as;4;3;1;2;is opposite to;4;3;;;;;;;;;;;q1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Is
6;87;is opposite to;is opposite to;1;2;is the same as;3;4;1;2;is opposite to;3;4;;;;;;;;;;;q1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Is
6;88;is opposite to;is opposite to;2;1;is the same as;3;4;2;1;is opposite to;3;4;;;;;;;;;;;q1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Is
6;89;is more than;is more than;1;2;is the same as;3;4;1;2;is the same as;4;3;1;2;is opposite to;3;4;2;1;is the same as;3;4;q1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Is
6;90;is more than;is more than;1;2;is opposite to;4;3;1;2;is opposite to;3;4;1;2;is the same as;4;3;2;1;is the same as;3;4;q1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Is
6;91;is more than;is more than;2;1;is opposite to;3;4;1;2;is the same as;4;3;1;2;is opposite to;3;4;2;1;is the opposite;4;3;q1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Is
6;92;is more than;is less than;1;2;is opposite to;3;4;1;2;is the same as;3;4;2;1;is opposite to;3;4;1;2;is opposite to;3;4;q1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Is
6;93;is more than;is less than;2;1;is opposite to;4;3;2;1;is the same as;4;3;1;2;is opposite to;4;3;2;1;is opposite to;3;4;q1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Is
6;94;is less than;is less than;2;1;is opposite to;3;4;2;1;is the same as;3;4;1;2;is opposite to;3;4;1;2;is the same as;4;3;q1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Is
6;95;is less than;is less than;1;2;is opposite to;4;3;1;2;is the same as;4;3;2;1;is the same as;3;4;1;2;is opposite to;3;4;q1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Is
6;96;is less than;is less than;2;1;is the same as;4;3;2;1;is opposite to;4;3;2;1;is the same as;3;4;1;2;is the same as;4;3;q1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Is
7;97;;;1;;;;;1;;;;;2;;;;;;;;;;q1;1;is;here;;2;is;there;;If here is there and there is here;;;;;;is there;;is here;;is there;;;;;;;;;;;;;;;;Is
7;98;;;2;;;;;2;;;;;1;;;;;;;;;;q1;1;is;here;;2;is;there;;If here is there and there is here;;;;;;is here;;is there;;is here;;;;;;;;;;;;;;;;Is
7;99;;;1;;;;;1;;;;;2;;;;;2;;;;;q1;1;is;here;now;2;was;there;then;If here is there and there is here;;;;;;is there;now;is here;now;was there;then;is here;now;;;;;;;;;;;;;Is
7;100;;;2;;;;;1;;;;;1;;;;;2;;;;;q1;1;is;here;now;2;was;there;then;If here is there and there is here;;;;;;was here;then;was there;then;here;now;is here;now;;;;;;;;;;;;;Was
7;101;;;1;;;;;1;;;;;2;;;;;2;;;;;q1;1;is;here;now;2;was;there;then;If now is then and then is now;;;;;;was here;then;is here;now;is here;now;was here;then;;;;;;;;;;;;;Was
7;102;;;2;;;;;1;;;;;2;;;;;1;;;;;q1;1;is;here;now;2;was;there;then;If now is then and then is now;;;;;;is there;now;is there;now;was here;then;was there;then;;;;;;;;;;;;;Is
7;103;;;1;;;;;1;;;;;1;;;;;1;;;;;q1;1;is;here;now;2;was;there;then;If here is there and there is here;1;is;2;and;if;was here;then;was there;then;is there;now;is here;now;;;;;;;;;;;;;Was
7;104;;;1;;;;;1;;;;;2;;;;;2;;;;;q1;1;is;here;now;2;was;there;then;If here is there and there is here;1;is;2;and;if;was here;then;was there;then;was there;then;was here;then;;;;;;;;;;;;;Was
7;105;;;2;;;;;2;;;;;2;;;;;2;;;;;q1;1;is;here;now;2;was;there;then;If here is there and there is here;1;is;2;and;if;is there;now;is here;now;was there;then;was here;then;;;;;;;;;;;;;Is
7;106;;;2;;;;;2;;;;;1;;;;;1;;;;;q1;1;is;here;now;2;was;there;then;If here is there and there is here;1;is;2;and;if;is there;now;was here;then;was there;then;is here;now;;;;;;;;;;;;;Was
7;107;;;2;;;;;2;;;;;1;;;;;1;;;;;q1;1;is;here;now;2;was;there;then;If here is there and there is here;1;is;2;and;if;is there;now;is here;now;was there;then;is here;now;;;;;;;;;;;;;Was
7;108;;;1;;;;;1;;;;;1;;;;;1;;;;;q1;1;is;here;now;2;was;there;then;If now is then and then is now;1;is;2;and;if;is there;now;is here;now;was there;then;was here;then;;;;;;;;;;;;;Was
7;109;;;1;;;;;1;;;;;2;;;;;2;;;;;q1;1;is;here;now;2;was;there;then;If now is then and then is now;1;is;2;and;if;is there;now;was here;then;is there;now;was there;then;;;;;;;;;;;;;Is
7;110;;;1;;;;;1;;;;;2;;;;;2;;;;;q1;1;is;here;now;2;was;there;then;If now is then and then is now;1;is;2;and;if;is there;now;is here;now;is here;now;is there;now;;;;;;;;;;;;;Was
7;111;;;2;;;;;2;;;;;2;;;;;2;;;;;q1;1;is;here;now;2;was;there;then;If now is then and then is now;1;is;2;and;if;was here;then;was there;then;is here;now;is there;now;;;;;;;;;;;;;Was
7;112;;;2;;;;;2;;;;;1;;;;;1;;;;;q1;1;is;here;now;2;was;there;then;If now is then and then is now;1;is;2;and;if;was here;then;is there;now;is here;now;was here;then;;;;;;;;;;;;;Was
8;113;plus;plus;2;4;is less than;;;2;4;is more than;;;;;;;;;;;;;q1;;;;;;;;;;;;;;;;;;;;;;;is the same as;1;is more than;3;;;;;;;;;Is
8;114;plus;plus;4;2;is more than;;;4;2;is less than;;;;;;;;;;;;;q1;;;;;;;;;;;;;;;;;;;;;;;is the same as;1;is more than;3;;;;;;;;;Is
8;115;plus;plus;2;4;is more than;;;2;4;is less than;;;;;;;;;;;;;q1;;;;;;;;;;;;;;;;;;;;;;;is the same as;1;is less than;3;;;;;;;;;Is
8;116;plus;plus;4;2;is less than;;;4;2;is more than;;;;;;;;;;;;;q1;;;;;;;;;;;;;;;;;;;;;;;is the same as;1;is less than;3;;;;;;;;;Is
8;117;minus;minus;2;4;is more than;;;2;4;is less than;;;;;;;;;;;;;q1;;;;;;;;;;;;;;;;;;;;;;;is the same as;1;is more than;3;;;;;;;;;Is
8;118;minus;minus;4;2;is less than;;;4;2;is more than;;;;;;;;;;;;;q1;;;;;;;;;;;;;;;;;;;;;;;is the same as;1;is more than;3;;;;;;;;;Is
8;119;minus;minus;2;4;is less than;;;2;4;is more than;;;;;;;;;;;;;q1;;;;;;;;;;;;;;;;;;;;;;;is the same as;1;is less than;3;;;;;;;;;Is
8;120;minus;minus;4;2;is more than;;;4;2;is less than;;;;;;;;;;;;;q1;;;;;;;;;;;;;;;;;;;;;;;is the same as;1;is less than;3;;;;;;;;;Is
8;121;plus;plus;2;4;is more than;;;2;4;is less than;;;;;;;;;;;;;q1;;;;;;;;;;;;;;;;;;;;;;;is more than;1;is the same as;3;;;;;;;;;Is
8;122;plus;plus;4;2;is less than;;;4;2;is more than;;;;;;;;;;;;;q1;;;;;;;;;;;;;;;;;;;;;;;is more than;1;is the same as;3;;;;;;;;;Is
8;123;minus;minus;2;4;is less than;;;2;4;is more than;;;;;;;;;;;;;q1;;;;;;;;;;;;;;;;;;;;;;;is more than;1;is the same as;3;;;;;;;;;Is
8;124;minus;minus;4;2;is more than;;;4;2;is less than;;;;;;;;;;;;;q1;;;;;;;;;;;;;;;;;;;;;;;is more than;1;is the same as;3;;;;;;;;;Is
8;125;plus;plus;1;3;is less than;;;1;3;is more than;;;;;;;;;;;;;q1;;;;;;;;;;;;;;;;;;;;;;;is less than;2;is the same as;4;;;;;;;;;Is
8;126;plus;plus;3;1;is more than;;;3;1;is less than;;;;;;;;;;;;;q1;;;;;;;;;;;;;;;;;;;;;;;is less than;2;is the same as;4;;;;;;;;;Is
8;127;minus;minus;1;3;is less than;;;1;3;is more than;;;;;;;;;;;;;q1;;;;;;;;;;;;;;;;;;;;;;;is less than;2;is the same as;4;;;;;;;;;Is
8;128;minus;minus;3;1;is more than;;;3;1;is less than;;;;;;;;;;;;;q1;;;;;;;;;;;;;;;;;;;;;;;is less than;2;is the same as;4;;;;;;;;;Is
